対象年,都道府県,市区町村,警察署等コード,本票番号,事故内容,死者数,負傷者数,発生日時,発生年,発生月,発生日,発生時,発生分,曜日,祝日,昼夜,天候,地形,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,当事者A 種別,当事者B 種別,当事者A 用途,当事者B 用途,当事者A 車両形状,当事者B 車両形状,当事者A 年齢,当事者B 年齢,当事者A 人身損傷程度,当事者B 人身損傷程度,当事者A 一時停止規制標識,当事者B 一時停止規制標識,当事者A 速度規制,当事者B 速度規制,当事者A 車両損壊程度,当事者B 車両損壊程度,当事者A エアバッグ,当事者B エアバッグ,緯度,経度
2019,和歌山,和歌山市,105,0220,負傷,0,1,2019/10/26 00:12,2019,10,26,0,12,土,その他,夜－夜,曇,市街地－人口集中,舗装－乾燥,交差点－その他,点灯－３灯式,交差点－大（13.0ｍ以上）－大,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,乗用車－普通車,自家用,事業用,乗用車,乗用車,45～54歳,55～64歳,損傷なし,負傷,規制なし,規制なし,50㎞／ｈ以下,50㎞／ｈ以下,小破,小破,その他,その他,34.2295075,135.1687411
2019,和歌山,和歌山市,105,0221,負傷,0,1,2019/10/21 14:20,2019,10,21,14,20,月,前日,昼－昼,雨,市街地－人口集中,舗装－湿潤,単路－その他,施設なし,単路－13.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,45～54歳,25～34歳,負傷,損傷なし,対象外当事者,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,小破,小破,その他,その他,34.2210344,135.1691764
2019,和歌山,和歌山市,105,0222,負傷,0,1,2019/10/18 18:23,2019,10,18,18,23,金,その他,夜－夜,雨,市街地－人口集中,舗装－湿潤,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,乗用車－普通車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,35～44歳,0～24歳,損傷なし,負傷,規制なし,規制なし,40㎞／ｈ以下,対象外当事者,小破,小破,その他,対象外当事者,34.1712783,135.2013275
2019,和歌山,和歌山市,105,0223,負傷,0,1,2019/08/22 18:47,2019,8,22,18,47,木,その他,夜－暮,晴,市街地－人口集中,舗装－乾燥,交差点－その他,点灯－３灯式,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,貨物車－軽自動車,自家用,事業用,乗用車,貨物車,35～44歳,55～64歳,負傷,損傷なし,規制なし,規制なし,40㎞／ｈ以下,40㎞／ｈ以下,小破,小破,その他,その他,34.2303794,135.1617331
2019,和歌山,和歌山市,105,0224,負傷,0,1,2019/10/29 08:31,2019,10,29,8,31,火,その他,昼－昼,雨,市街地－人口集中,舗装－湿潤,交差点－その他,点灯－３灯式,交差点－大（13.0ｍ以上）－中,直線－平坦,交差点内,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,35～44歳,0～24歳,損傷なし,負傷,規制なし,規制なし,50㎞／ｈ以下,対象外当事者,小破,小破,その他,対象外当事者,34.2070725,135.171085
2019,和歌山,和歌山市,105,0225,負傷,0,1,2019/10/21 13:55,2019,10,21,13,55,月,前日,昼－昼,雨,市街地－人口集中,舗装－湿潤,交差点－その他,施設なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央分離なし,区分なし,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,35～44歳,25～34歳,負傷,損傷なし,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,その他,34.1673906,135.1945308
2019,和歌山,和歌山市,105,0226,負傷,0,1,2019/10/23 02:40,2019,10,23,2,40,水,その他,夜－夜,晴,市街地－人口集中,舗装－乾燥,単路－橋,点灯－３灯式,単路－9.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－防護柵等,車両相互,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,0～24歳,45～54歳,損傷なし,負傷,対象外当事者,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,小破,小破,その他,その他,34.2329031,135.1562803
2019,和歌山,海南市,106,0050,負傷,0,3,2019/09/23 14:20,2019,9,23,14,20,月,当日,昼－昼,曇,市街地－人口集中,舗装－湿潤,一般交通の場所,施設なし,一般交通の場所,一般交通の場所,その他,規制なし,一般交通の場所,区分なし,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,45～54歳,35～44歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,その他,34.1538306,135.2058231
2019,和歌山,海南市,106,0051,負傷,0,1,2019/08/23 09:20,2019,8,23,9,20,金,その他,昼－昼,雨,市街地－その他,舗装－湿潤,交差点付近－その他,施設なし,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,45～54歳,25～34歳,損傷なし,損傷なし,対象外当事者,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,小破,小破,その他,その他,34.1189983,135.1542225
2019,和歌山,海南市,106,0052,負傷,0,1,2019/09/25 09:30,2019,9,25,9,30,水,その他,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点付近－その他,施設なし,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,乗用車－普通車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,65～74歳,25～34歳,損傷なし,負傷,対象外当事者,対象外当事者,40㎞／ｈ以下,対象外当事者,小破,損壊なし,その他,対象外当事者,34.1625722,135.2060189
2019,和歌山,海南市,106,0053,負傷,0,1,2019/09/22 01:45,2019,9,22,1,45,日,前日,夜－夜,曇,市街地－その他,舗装－乾燥,交差点付近－その他,施設なし,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,二輪車－一般原付自転車,自家用,自家用,乗用車,対象外当事者,0～24歳,55～64歳,損傷なし,負傷,対象外当事者,対象外当事者,50㎞／ｈ以下,30㎞／ｈ以下,中破,中破,その他,対象外当事者,34.1153836,135.1554917
2019,和歌山,海南市,106,0054,負傷,0,1,2019/09/25 17:10,2019,9,25,17,10,水,その他,昼－暮,晴,市街地－人口集中,舗装－乾燥,交差点－その他,点灯－押ボタン式,交差点－中（5.5m以上）－小,カーブ・屈折－右－平坦,交差点内,規制なし,中央分離なし,区分あり－路側帯,車両相互,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,65～74歳,0～24歳,損傷なし,負傷,規制なし,規制なし,40㎞／ｈ以下,対象外当事者,小破,中破,その他,対象外当事者,34.1724264,135.2385278
2019,和歌山,海南市,106,0055,負傷,0,1,2019/10/05 11:15,2019,10,5,11,15,土,その他,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－小（5.5m未満）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分なし,車両相互,乗用車－軽自動車,二輪車－自動二輪－軽二輪－126～250cc,自家用,自家用,乗用車,対象外当事者,45～54歳,35～44歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,30㎞／ｈ以下,小破,小破,その他,対象外当事者,34.1587369,135.2241933
2019,和歌山,海南市,106,0056,負傷,0,1,2019/10/23 07:45,2019,10,23,7,45,水,その他,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,二輪車－自動二輪－軽二輪－126～250cc,自家用,自家用,乗用車,対象外当事者,45～54歳,45～54歳,損傷なし,負傷,規制なし,規制なし,50㎞／ｈ以下,50㎞／ｈ以下,小破,小破,その他,対象外当事者,34.1274269,135.1656444
2019,和歌山,有田市,107,0024,負傷,0,1,2019/09/06 09:30,2019,9,6,9,30,金,その他,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－路側帯,車両相互,乗用車－軽自動車,二輪車－一般原付自転車,自家用,自家用,乗用車,対象外当事者,45～54歳,75歳以上,損傷なし,負傷,標準－反射式,規制なし,指定の速度規制なし等,指定の速度規制なし等,小破,中破,その他,対象外当事者,34.0763592,135.1334528
2019,和歌山,有田市,107,0025,負傷,0,1,2019/04/17 15:10,2019,4,17,15,10,水,その他,昼－昼,曇,市街地－その他,舗装－乾燥,交差点－その他,点灯－３灯式,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,45～54歳,35～44歳,負傷,損傷なし,規制なし,規制なし,40㎞／ｈ以下,30㎞／ｈ以下,小破,小破,その他,その他,34.075765,135.142285
2019,和歌山,有田市,107,0026,負傷,0,1,2019/09/12 08:55,2019,9,12,8,55,木,その他,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,その他,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,貨物車－普通車,自家用,自家用,乗用車,貨物車,35～44歳,55～64歳,損傷なし,負傷,規制なし,規制なし,40㎞／ｈ以下,40㎞／ｈ以下,中破,中破,その他,その他,34.0721964,135.1380528
2019,和歌山,有田市,107,0027,負傷,0,1,2019/09/18 18:05,2019,9,18,18,5,水,その他,夜－暮,晴,非市街地,舗装－乾燥,交差点付近－その他,施設なし,単路－5.5m以上,カーブ・屈折－左－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－防護柵等,人対車両,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,25～34歳,75歳以上,損傷なし,負傷,対象外当事者,対象外当事者,50㎞／ｈ以下,対象外当事者,小破,対象外当事者,その他,対象外当事者,34.0746131,135.1675878
2019,和歌山,広川町,108,0043,負傷,0,1,2019/10/04 10:15,2019,10,4,10,15,金,その他,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－小（5.5m未満）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分なし,車両相互,軽車両－自転車,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,55～64歳,不明,負傷,対象外当事者,規制なし,対象外当事者,対象外当事者,対象外当事者,小破,対象外当事者,対象外当事者,対象外当事者,34.0287586,135.1738219
2019,和歌山,有田川町,108,0044,負傷,0,1,2019/09/26 17:21,2019,9,26,17,21,木,その他,昼－暮,晴,市街地－その他,舗装－乾燥,交差点－その他,点灯－３灯式,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,65～74歳,45～54歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,中破,中破,その他,その他,34.0588311,135.2553842
2019,和歌山,日高町,109,0051,負傷,0,1,2019/09/12 18:10,2019,9,12,18,10,木,その他,昼－暮,晴,非市街地,舗装－乾燥,単路－その他,施設なし,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,25～34歳,35～44歳,損傷なし,負傷,対象外当事者,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,中破,小破,装備あり 作動,装備あり 作動,33.9226914,135.1143853
