対象年,都道府県,市区町村,警察署等コード,本票番号,事故内容,死者数,負傷者数,発生日時,発生年,発生月,発生日,発生時,発生分,曜日,祝日,昼夜,天候,地形,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,当事者A 種別,当事者B 種別,当事者A 用途,当事者B 用途,当事者A 車両形状,当事者B 車両形状,当事者A 年齢,当事者B 年齢,当事者A 人身損傷程度,当事者B 人身損傷程度,当事者A 一時停止規制標識,当事者B 一時停止規制標識,当事者A 速度規制,当事者B 速度規制,当事者A 車両損壊程度,当事者B 車両損壊程度,当事者A エアバッグ,当事者B エアバッグ,緯度,経度
2019,和歌山,和歌山市,059,0001,負傷,0,1,2018/12/22 08:25,2018,12,22,8,25,土,前日,昼－昼,雨,市街地－その他,舗装－湿潤,単路－その他,施設なし,単路－19.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分なし,車両相互,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,45～54歳,35～44歳,損傷なし,負傷,対象外当事者,対象外当事者,80㎞／ｈ以下,指定の速度規制なし等,小破,小破,その他,その他,34.2406953,135.2151794
2019,和歌山,海南市,059,0002,負傷,0,1,2019/01/13 05:00,2019,1,13,5,0,日,前日,夜－夜,晴,非市街地,舗装－乾燥,単路－トンネル,施設なし,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－路側帯,車両相互,貨物車－大型車,乗用車－普通車,事業用,自家用,貨物車,乗用車,45～54歳,0～24歳,負傷,損傷なし,対象外当事者,対象外当事者,80㎞／ｈ以下,80㎞／ｈ以下,小破,大破,その他,装備あり 作動,34.1133122,135.2010144
2019,和歌山,橋本市,101,0001,負傷,0,1,2018/12/25 09:43,2018,12,25,9,43,火,その他,昼－昼,晴,非市街地,舗装－乾燥,一般交通の場所,施設なし,一般交通の場所,一般交通の場所,その他,規制なし,一般交通の場所,区分なし,人対車両,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,75歳以上,45～54歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,損壊なし,対象外当事者,その他,対象外当事者,34.3110589,135.5878083
2019,和歌山,橋本市,101,0002,負傷,0,1,2019/01/04 13:05,2019,1,4,13,5,金,その他,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,施設なし,交差点－小（5.5m未満）－小,直線－上り,交差点内,規制なし,中央分離なし,区分なし,車両相互,乗用車－軽自動車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,35～44歳,35～44歳,負傷,損傷なし,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,その他,34.3162961,135.6047336
2019,和歌山,橋本市,101,0003,負傷,0,3,2019/01/10 15:35,2019,1,10,15,35,木,その他,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,施設なし,単路－5.5m以上,直線－下り,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,貨物車－普通車,自家用,自家用,乗用車,貨物車,45～54歳,25～34歳,負傷,損傷なし,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,大破,大破,装備あり 作動,装備あり 作動,34.3165936,135.5747822
2019,和歌山,橋本市,101,0004,負傷,0,1,2018/12/05 08:19,2018,12,5,8,19,水,その他,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－路側帯,車両相互,乗用車－普通車,軽車両－自転車,事業用,対象外当事者,乗用車,対象外当事者,35～44歳,0～24歳,損傷なし,負傷,規制なし,標準－反射式,指定の速度規制なし等,対象外当事者,小破,大破,その他,対象外当事者,34.3299414,135.6519908
2019,和歌山,橋本市,101,0005,負傷,0,1,2018/12/12 06:00,2018,12,12,6,0,水,その他,夜－明,雨,非市街地,舗装－湿潤,単路－その他,施設なし,単路－3.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離なし,区分なし,車両単独,二輪車－自動二輪－原付二種－51～125cc,相手なし,自家用,対象外当事者,対象外当事者,対象外当事者,45～54歳,不明,負傷,対象外当事者,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,小破,対象外当事者,対象外当事者,対象外当事者,34.34282,135.5688133
2019,和歌山,橋本市,101,0006,負傷,0,1,2019/01/13 10:52,2019,1,13,10,52,日,前日,昼－昼,晴,非市街地,舗装－湿潤,交差点付近－その他,施設なし,単路－5.5m以上,カーブ・屈折－右－下り,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－防護柵等,車両相互,乗用車－普通車,二輪車－自動二輪－小型二輪－251～400cc,自家用,自家用,乗用車,対象外当事者,0～24歳,35～44歳,負傷,損傷なし,対象外当事者,対象外当事者,40㎞／ｈ以下,40㎞／ｈ以下,小破,小破,その他,対象外当事者,34.3407094,135.6131989
2019,和歌山,橋本市,101,0007,負傷,0,2,2018/12/14 08:10,2018,12,14,8,10,金,その他,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－中,直線－上り,交差点内,規制なし,中央分離なし,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,乗用車－軽自動車,自家用,事業用,乗用車,乗用車,55～64歳,35～44歳,負傷,負傷,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,中破,中破,装備あり 作動,装備あり 作動,34.3657794,135.6114078
2019,和歌山,高野町,101,0008,死亡,1,0,2019/01/27 16:00,2019,1,27,16,0,日,その他,昼－昼,晴,非市街地,舗装－凍結,単路－カーブ・屈折,施設なし,単路－3.5m以上,カーブ・屈折－左－下り,単路（交差点付近を含む）,規制なし,中央分離なし,区分なし,車両単独,乗用車－軽自動車,相手なし,自家用,対象外当事者,乗用車,対象外当事者,55～64歳,不明,死亡,対象外当事者,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,大破,対象外当事者,その他,対象外当事者,34.2451056,135.7100383
2019,和歌山,橋本市,102,0001,負傷,0,1,2018/12/14 09:20,2018,12,14,9,20,金,その他,昼－昼,曇,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－小（5.5m未満）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分なし,車両相互,二輪車－一般原付自転車,二輪車－一般原付自転車,自家用,自家用,対象外当事者,対象外当事者,25～34歳,75歳以上,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,小破,小破,対象外当事者,対象外当事者,34.3130053,135.5693942
2019,和歌山,かつらぎ町,102,0002,負傷,0,1,2018/12/26 20:00,2018,12,26,20,0,水,その他,夜－夜,晴,市街地－その他,舗装－乾燥,交差点付近－その他,点灯－３灯式,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,65～74歳,35～44歳,損傷なし,負傷,対象外当事者,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,小破,小破,その他,その他,34.2885678,135.4788339
2019,和歌山,かつらぎ町,102,0003,負傷,0,1,2018/12/15 17:00,2018,12,15,17,0,土,その他,夜－暮,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,45～54歳,55～64歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,対象外当事者,中破,中破,その他,対象外当事者,34.2851806,135.4664194
2019,和歌山,橋本市,102,0004,負傷,0,1,2019/01/05 10:25,2019,1,5,10,25,土,その他,昼－昼,曇,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,75歳以上,45～54歳,損傷なし,負傷,規制なし,標準－反射式,50㎞／ｈ以下,対象外当事者,小破,中破,その他,対象外当事者,34.3054544,135.5702486
2019,和歌山,かつらぎ町,102,0005,負傷,0,2,2019/01/11 21:25,2019,1,11,21,25,金,その他,夜－夜,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－中,直線－下り,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,貨物車－大型車,乗用車－普通車,事業用,自家用,貨物車,乗用車,25～34歳,65～74歳,損傷なし,負傷,規制なし,規制なし,50㎞／ｈ以下,50㎞／ｈ以下,小破,中破,その他,その他,34.2971431,135.4967661
2019,和歌山,岩出市,103,0001,負傷,0,2,2018/12/19 16:20,2018,12,19,16,20,水,その他,昼－暮,晴,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分なし,車両相互,乗用車－普通車,二輪車－一般原付自転車,事業用,自家用,乗用車,対象外当事者,65～74歳,0～24歳,損傷なし,負傷,規制なし,標準－自発光式,40㎞／ｈ以下,指定の速度規制なし等,小破,小破,その他,対象外当事者,34.2578383,135.3222511
2019,和歌山,紀の川市,103,0002,負傷,0,1,2018/12/25 12:20,2018,12,25,12,20,火,その他,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－小（5.5m未満）－小,直線－下り,交差点内,規制なし,中央分離なし,区分なし,車両相互,乗用車－普通車,二輪車－自動二輪－原付二種－51～125cc,自家用,自家用,乗用車,対象外当事者,75歳以上,35～44歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,対象外当事者,34.2537133,135.3370533
2019,和歌山,岩出市,103,0003,負傷,0,1,2018/12/25 07:45,2018,12,25,7,45,火,その他,昼－明,晴,非市街地,舗装－乾燥,単路－その他,施設なし,単路－9.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,二輪車－自動二輪－原付二種－51～125cc,自家用,自家用,乗用車,対象外当事者,0～24歳,25～34歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,損壊なし,小破,その他,対象外当事者,34.2528975,135.3120369
2019,和歌山,紀の川市,103,0004,負傷,0,1,2018/12/28 10:50,2018,12,28,10,50,金,その他,昼－昼,曇,非市街地,舗装－湿潤,交差点－その他,点灯－３灯式,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,人対車両,貨物車－大型車,歩行者,事業用,対象外当事者,貨物車,対象外当事者,35～44歳,65～74歳,損傷なし,負傷,規制なし,対象外当事者,指定の速度規制なし等,対象外当事者,損壊なし,対象外当事者,その他,対象外当事者,34.2421797,135.3256981
2019,和歌山,岩出市,103,0005,負傷,0,2,2018/12/31 14:40,2018,12,31,14,40,月,前日,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－大（13.0ｍ以上）－中,直線－平坦,交差点内,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,25～34歳,45～54歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,その他,34.2634258,135.2875956
2019,和歌山,紀の川市,103,0006,負傷,0,1,2019/01/08 13:15,2019,1,8,13,15,火,その他,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,施設なし,単路－9.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離なし,区分なし,車両相互,乗用車－普通車,二輪車－一般原付自転車,自家用,自家用,乗用車,対象外当事者,65～74歳,65～74歳,損傷なし,負傷,対象外当事者,対象外当事者,50㎞／ｈ以下,指定の速度規制なし等,小破,小破,その他,対象外当事者,34.2407203,135.3449303
2019,和歌山,岩出市,103,0007,負傷,0,1,2019/01/06 18:00,2019,1,6,18,0,日,その他,夜－暮,晴,市街地－その他,舗装－乾燥,一般交通の場所,施設なし,一般交通の場所,一般交通の場所,その他,規制なし,一般交通の場所,区分なし,人対車両,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,45～54歳,55～64歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,小破,対象外当事者,その他,対象外当事者,34.262845,135.3244811
2019,和歌山,岩出市,103,0008,負傷,0,1,2019/01/15 20:20,2019,1,15,20,20,火,その他,夜－夜,曇,非市街地,舗装－湿潤,一般交通の場所,施設なし,一般交通の場所,一般交通の場所,その他,規制なし,一般交通の場所,区分なし,人対車両,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,65～74歳,25～34歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,小破,対象外当事者,その他,対象外当事者,34.2864344,135.3063697
2019,和歌山,岩出市,103,0009,負傷,0,1,2018/12/22 19:10,2018,12,22,19,10,土,前日,夜－夜,曇,市街地－その他,舗装－湿潤,交差点－その他,点灯－３灯式,交差点－大（13.0ｍ以上）－中,直線－平坦,交差点内,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,二輪車－自動二輪－軽二輪－126～250cc,自家用,自家用,乗用車,対象外当事者,55～64歳,0～24歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,損壊なし,小破,その他,対象外当事者,34.2592222,135.3056803
2019,和歌山,紀の川市,103,0010,負傷,0,1,2019/01/08 12:30,2019,1,8,12,30,火,その他,昼－昼,晴,市街地－その他,舗装－乾燥,一般交通の場所,施設なし,一般交通の場所,一般交通の場所,その他,規制なし,一般交通の場所,区分なし,車両相互,乗用車－軽自動車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,75歳以上,65～74歳,負傷,損傷なし,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,その他,34.2590008,135.3403294
2019,和歌山,紀の川市,103,0011,負傷,0,1,2018/12/07 06:20,2018,12,7,6,20,金,その他,夜－明,曇,非市街地,舗装－湿潤,交差点付近－その他,施設なし,単路－5.5m以上,直線－下り,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－路側帯,人対車両,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,55～64歳,55～64歳,損傷なし,負傷,対象外当事者,対象外当事者,40㎞／ｈ以下,対象外当事者,小破,対象外当事者,その他,対象外当事者,34.2868369,135.4167603
2019,和歌山,岩出市,103,0012,負傷,0,1,2019/01/17 18:00,2019,1,17,18,0,木,その他,夜－暮,曇,非市街地,舗装－乾燥,交差点－その他,点灯－３灯式,交差点－大（13.0ｍ以上）－中,直線－平坦,交差点内,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,65～74歳,0～24歳,損傷なし,損傷なし,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,中破,中破,その他,装備あり 作動,34.2639608,135.2850308
2019,和歌山,紀の川市,103,0013,負傷,0,1,2019/01/16 11:00,2019,1,16,11,0,水,その他,昼－昼,晴,非市街地,舗装－乾燥,一般交通の場所,施設なし,一般交通の場所,一般交通の場所,その他,規制なし,一般交通の場所,区分なし,人対車両,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,75歳以上,35～44歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,損壊なし,対象外当事者,その他,対象外当事者,34.2566606,135.34492
2019,和歌山,岩出市,103,0014,負傷,0,1,2019/01/12 11:45,2019,1,12,11,45,土,その他,昼－昼,雨,市街地－その他,舗装－湿潤,単路－その他,施設なし,単路－19.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,45～54歳,25～34歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,小破,小破,その他,対象外当事者,34.2606767,135.3127339
2019,和歌山,岩出市,103,0015,負傷,0,1,2019/01/16 17:55,2019,1,16,17,55,水,その他,夜－暮,曇,市街地－その他,舗装－乾燥,交差点付近－その他,点灯－３灯式,単路－19.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,二輪車－一般原付自転車,自家用,自家用,乗用車,対象外当事者,25～34歳,0～24歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,対象外当事者,34.2603236,135.3125106
2019,和歌山,紀の川市,103,0016,負傷,0,1,2019/01/19 15:30,2019,1,19,15,30,土,その他,昼－昼,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,施設なし,単路－3.5m以上,カーブ・屈折－左－平坦,単路（交差点付近を含む）,規制なし,中央分離なし,区分あり－路側帯,車両相互,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,75歳以上,0～24歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,小破,小破,その他,対象外当事者,34.2215417,135.3120997
2019,和歌山,紀の川市,103,0017,負傷,0,1,2019/01/21 17:30,2019,1,21,17,30,月,その他,夜－暮,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,乗用車－軽自動車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,35～44歳,25～34歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,大破,小破,その他,その他,34.2331453,135.3469283
2019,和歌山,岩出市,103,0018,負傷,0,4,2019/01/21 17:20,2019,1,21,17,20,月,その他,夜－暮,晴,非市街地,舗装－乾燥,単路－その他,施設なし,単路－9.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,45～54歳,0～24歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,中破,中破,その他,その他,34.2626378,135.3358086
2019,和歌山,紀の川市,103,0019,負傷,0,1,2019/01/09 14:55,2019,1,9,14,55,水,その他,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,点灯－３灯式,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,人対車両,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,35～44歳,75歳以上,損傷なし,負傷,規制なし,対象外当事者,40㎞／ｈ以下,対象外当事者,小破,対象外当事者,その他,対象外当事者,34.278115,135.4036886
2019,和歌山,紀の川市,103,0020,負傷,0,2,2019/01/25 06:45,2019,1,25,6,45,金,その他,夜－明,晴,非市街地,舗装－乾燥,交差点－その他,点灯－３灯式,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,65～74歳,55～64歳,負傷,損傷なし,規制なし,規制なし,50㎞／ｈ以下,50㎞／ｈ以下,中破,中破,その他,その他,34.258555,135.3731572
2019,和歌山,紀の川市,103,0021,負傷,0,1,2019/01/27 11:00,2019,1,27,11,0,日,その他,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,45～54歳,0～24歳,負傷,損傷なし,規制なし,その他,50㎞／ｈ以下,50㎞／ｈ以下,小破,小破,その他,その他,34.2695389,135.4161683
2019,和歌山,和歌山市,104,0001,負傷,0,1,2018/11/16 17:05,2018,11,16,17,5,金,その他,夜－暮,晴,市街地－人口集中,舗装－乾燥,単路－その他,施設なし,単路－3.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離なし,区分あり－路側帯,人対車両,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,55～64歳,75歳以上,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,小破,対象外当事者,その他,対象外当事者,34.2526758,135.2103292
2019,和歌山,和歌山市,104,0002,負傷,0,2,2019/01/02 14:28,2019,1,2,14,28,水,その他,昼－昼,曇,非市街地,舗装－乾燥,単路－その他,施設なし,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,35～44歳,65～74歳,損傷なし,負傷,対象外当事者,対象外当事者,30㎞／ｈ以下,30㎞／ｈ以下,小破,小破,その他,その他,34.2002197,135.2056272
2019,和歌山,和歌山市,104,0003,負傷,0,1,2018/12/28 16:25,2018,12,28,16,25,金,その他,昼－暮,曇,市街地－人口集中,舗装－乾燥,交差点－その他,点灯－押ボタン式,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,貨物車－普通車,軽車両－自転車,自家用,対象外当事者,貨物車,対象外当事者,45～54歳,55～64歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,対象外当事者,小破,小破,その他,対象外当事者,34.2314053,135.2112936
2019,和歌山,和歌山市,104,0004,負傷,0,1,2018/12/27 13:30,2018,12,27,13,30,木,その他,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,乗用車－普通車,貨物車－軽自動車,自家用,事業用,乗用車,貨物車,25～34歳,45～54歳,負傷,損傷なし,規制なし,規制なし,50㎞／ｈ以下,50㎞／ｈ以下,小破,小破,その他,その他,34.2401644,135.2530592
2019,和歌山,和歌山市,104,0005,負傷,0,1,2018/12/13 20:00,2018,12,13,20,0,木,その他,夜－夜,曇,非市街地,舗装－乾燥,交差点付近－その他,点灯－３灯式,単路－13.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,25～34歳,25～34歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,その他,34.2546675,135.24853
2019,和歌山,和歌山市,104,0006,負傷,0,1,2018/12/20 18:00,2018,12,20,18,0,木,その他,夜－夜,曇,市街地－人口集中,舗装－湿潤,交差点－その他,点灯－３灯式,交差点－大（13.0ｍ以上）－小,直線－平坦,交差点内,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,45～54歳,0～24歳,負傷,損傷なし,規制なし,規制なし,50㎞／ｈ以下,50㎞／ｈ以下,小破,小破,その他,その他,34.2018808,135.1850486
2019,和歌山,和歌山市,104,0007,負傷,0,1,2018/12/21 17:15,2018,12,21,17,15,金,その他,夜－暮,曇,市街地－その他,舗装－乾燥,単路－カーブ・屈折,施設なし,単路－9.0m以上,カーブ・屈折－右－下り,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,二輪車－一般原付自転車,自家用,自家用,乗用車,対象外当事者,75歳以上,0～24歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,対象外当事者,34.2560464,135.2222233
2019,和歌山,和歌山市,104,0008,負傷,0,2,2019/01/02 22:50,2019,1,2,22,50,水,その他,夜－夜,晴,非市街地,舗装－乾燥,一般交通の場所,施設なし,一般交通の場所,一般交通の場所,その他,規制なし,一般交通の場所,区分なし,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,0～24歳,25～34歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,その他,34.2744422,135.2473961
2019,和歌山,和歌山市,104,0009,負傷,0,1,2019/01/05 13:25,2019,1,5,13,25,土,その他,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分なし,車両相互,乗用車－普通車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,45～54歳,0～24歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,対象外当事者,小破,小破,その他,対象外当事者,34.2120239,135.1946911
2019,和歌山,和歌山市,104,0010,負傷,0,1,2018/07/04 11:23,2018,7,4,11,23,水,その他,昼－昼,雨,市街地－人口集中,舗装－湿潤,交差点付近－その他,点灯－３灯式,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ポストコーン,区分あり－防護柵等,車両相互,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,65～74歳,35～44歳,損傷なし,負傷,対象外当事者,対象外当事者,40㎞／ｈ以下,40㎞／ｈ以下,小破,小破,その他,その他,34.2367739,135.2054969
2019,和歌山,和歌山市,104,0011,負傷,0,1,2019/01/04 10:40,2019,1,4,10,40,金,その他,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,施設なし,交差点－小（5.5m未満）－小,カーブ・屈折－右－平坦,交差点内,規制なし,中央分離なし,区分なし,車両相互,乗用車－軽自動車,二輪車－自動二輪－小型二輪－251～400cc,自家用,自家用,乗用車,対象外当事者,75歳以上,0～24歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,対象外当事者,34.2239422,135.2150614
2019,和歌山,和歌山市,104,0012,負傷,0,1,2018/11/20 17:20,2018,11,20,17,20,火,その他,夜－暮,晴,市街地－人口集中,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分なし,車両相互,貨物車－軽自動車,二輪車－一般原付自転車,自家用,自家用,貨物車,対象外当事者,45～54歳,0～24歳,損傷なし,負傷,標準－反射式,規制なし,指定の速度規制なし等,指定の速度規制なし等,損壊なし,小破,その他,対象外当事者,34.2140731,135.2015222
2019,和歌山,和歌山市,104,0013,負傷,0,2,2019/01/04 11:05,2019,1,4,11,5,金,その他,昼－昼,晴,非市街地,舗装－乾燥,交差点付近－その他,点滅－３灯式,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,65～74歳,55～64歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,その他,34.2672194,135.2662503
2019,和歌山,和歌山市,104,0015,負傷,0,1,2019/01/15 09:35,2019,1,15,9,35,火,その他,昼－昼,曇,市街地－人口集中,舗装－乾燥,交差点－その他,施設なし,交差点－小（5.5m未満）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分なし,車両相互,乗用車－普通車,二輪車－一般原付自転車,自家用,自家用,乗用車,対象外当事者,25～34歳,55～64歳,損傷なし,負傷,規制なし,標準－反射式,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,対象外当事者,34.2076842,135.1989881
